year,transect,POPR,BRIN,NatC3,IntC3,NatC4,IntC4,Natleg,Intleg,NatForb,IntForb,NatWoody,IntWoody,Bare,Dead,Robel,LitterDepth,TRT,bloop1,TSF,BurnSeason
2017,ENENWE,42.85,9.5,12.6,0.9,0,0.15,1.35,2.2,17.15,3.85,11.9,0,1.35,8.1,2.5125,22.0625,PBG20,ENENWE20171,UNB,NA
2018,ENENWE,58.55,10.45,7.2,2.2,0,0,4.35,0.75,24,2.4,14.5,0.75,1.35,4.65,2.95,20.95,PBG20,ENENWE20181,UNB,NA
2019,ENENWE,43.2,22.1,20.1,2.65,3.15,0,22.85,9.6,27.65,11.4,16.25,0,1.9,30.35,3.1875,19.575,PBG20,ENENWE20191,UNB,NA
2020,ENENWE,21.1,11.8,11.65,0.45,0,0,0.75,0.3,16.65,0.15,18.35,0,1.5,27.75,2.95,43.0125,PBG20,ENENWE20201,UNB,NA
2017,ENENWW,31.5,2.85,28.55,0,4.55,0,1.35,3.45,30.05,3.45,6.9,0,3.3,4.65,2.0375,14.0625,PBG20,ENENWW20171,UNB,NA
2018,ENENWW,40.75,3.6,7.45,1.8,9.05,0,2.4,4.25,33.3,1.2,7.7,0,5.85,3,1.95,11.25,PBG20,ENENWW20181,UNB,NA
2019,ENENWW,29.9,2.65,26.15,0,20.2,0,15.15,7.8,32.65,9.1,11.35,0,18.2,31.9,0.6375,6.425,PBG20,ENENWW20191,0,SPRING
2020,ENENWW,32.35,3.4,14.45,0.3,1.2,0,2.85,1.05,34.35,0.15,2.25,0,6.3,10.65,1.9125,7.95,PBG20,ENENWW20201,1,SPRING
2017,ENESEE,37.25,8.1,11.45,0.15,0.15,0,0.9,13.45,18.3,6.4,7.6,0,4.35,4.65,1.425,6.25,PBG20,ENESEE20171,0,SPRING
2018,ENESEE,44.55,13,4.95,0.15,5.35,0,3.55,10.45,24.05,2.4,6.8,0,8.5,1.5,1.35,8.5,PBG20,ENESEE20181,1,SPRING
2019,ENESEE,28.9,25.35,11.75,0,1.9,0,12.15,21.2,20,24.25,7.95,0,18.2,84.05,0.9875,11.275,PBG20,ENESEE20191,2,SPRING
2020,ENESEE,36.95,11.75,2.55,0.15,1.2,0,1.2,5.85,8.25,1.05,6,0,0.9,12.9,2.7625,26.875,PBG20,ENESEE20201,3,SPRING
2017,ENESEW,50.45,5.35,11,0.9,2.35,0,1.65,15.75,10,7.75,3.75,0,1.95,10.8,1.6375,14.5625,PBG20,ENESEW20171,UNB,NA
2018,ENESEW,43.4,7.25,14.3,0.9,10.35,0,3.45,12,24.25,13.9,5.85,0,8.2,1.65,1.7,8.35,PBG20,ENESEW20181,0,FALL
